Date,Open,High,Low,Close,Volume
2023-03-01,153.01,153.24,151.91,152.57,6766972
2023-03-02,151.75,152.76,151.231,152.45,8765070
2023-03-03,153.37,154.12,152.84,154.02,5747158
2023-03-06,154.66,155.73,154.565,155.56,8148207
2023-03-07,156.09,156.25,153.35,154.09,7457731
2023-03-08,153.98,154.1955,152.48,152.96,6230522
2023-03-09,153.46,153.6,150.71,151.24,7439367
2023-03-10,151.86,153.49,151.1,151.61,8504316
2023-03-13,152.09,155.91,151.57,153.06,10799575
2023-03-14,153.28,154.03,151.9,153.92,8421189
2023-03-15,152.84,154.89,152.5259,154.35,7757686
2023-03-16,153.45,154.365,152.605,154.03,7606079
2023-03-17,154.48,154.9499,152.3,152.38,20540668
2023-03-20,152.47,154.075,152.38,153.89,7128958
2023-03-21,154,154.13,152.17,153.89,8376843
2023-03-22,153.85,154.06,151.03,151.05,7943526
2023-03-23,151.175,151.69,150.11,151.13,9051510
2023-03-24,151.48,152.76,150.83,152.65,5696845
2023-03-27,154.28,154.54,153.11,153.3,6772282
2023-03-28,152.39,153.45,151.725,151.82,6115293
2023-03-29,152.24,153.38,152.07,153.31,6012030
2023-03-30,153.58,153.8,152.81,153.43,4555905
2023-03-31,153.79,155.19,153.24,155,9890047
2023-04-03,154.95,157.01,153.94,156.85,6841888
2023-04-04,156.97,158.97,156.59,158.49,8314527
2023-04-05,164.37,165.66,162.76,165.61,16704181
2023-04-06,165.99,167.23,164.8,165.15,9615407
2023-04-10,164.63,164.84,163.64,164.32,5353951
2023-04-11,164.42,165.28,164.0401,164.27,5903824
2023-04-12,163.94,164.84,163.1,163.92,5764240
2023-04-13,164.18,166.33,163.805,166.11,5640617
2023-04-14,165.97,166.115,164.06,165.84,7225127
2023-04-17,165.735,166.24,164.94,165.67,8046428
2023-04-18,164.25,164.69,159.65,161.01,14571485
2023-04-19,161.99,162.68,161.17,162.53,6752006
2023-04-20,162.43,163.82,160.96,163.58,9498768
2023-04-21,164.44,164.97,161.97,162.69,7014214
2023-04-24,162.69,163.805,161.87,163.68,5278892
2023-04-25,164.31,165.35,164.155,165.18,6263103
2023-04-26,164.09,164.39,162.24,162.62,5518174
2023-04-27,162.9,163.4067,162.13,163,5739700
2023-04-28,162.81,163.76,162.5566,163.7,6024864
2023-05-01,163.6,164.298,162.24,163.6,4893426
2023-05-02,164.34,165.48,163.555,165.03,7541724
2023-05-03,165.55,166.18,162.51,162.87,5937170
2023-05-04,162.68,162.9,161.25,162.13,5127992
2023-05-05,162.84,163.13,161.69,162.68,5194461
2023-05-08,161.99,162.57,161.34,162.31,4994929
2023-05-09,161.75,162.13,160.79,161.05,5520642
2023-05-10,161.2,161.97,160.06,161.65,6756629
2023-05-11,161.83,162.19,159.3901,160.99,5867620
2023-05-12,161.36,161.56,160.01,160.78,3904327
2023-05-15,160.8,161.03,158.94,159.55,5104486
2023-05-16,159.06,160.25,158.53,159.34,5599505
2023-05-17,159.79,160.055,157.77,158.99,6840687
2023-05-18,158.66,158.93,157.56,158.48,5172966
2023-05-19,158.59,159.9344,158.14,158.91,6527141
2023-05-22,158,159.14,156.78,156.87,5675927
2023-05-23,157.1,158.27,156.37,156.81,5793009
2023-05-24,157.08,157.14,155.92,156.66,5015148
2023-05-25,156.05,156.29,153.72,154.41,6886056
2023-05-26,154.69,155.275,154.2,154.35,6845396
2023-05-30,153.97,155.38,153.32,154.37,5593080
2023-05-31,154.695,155.69,153.85,155.06,11324588
2023-06-01,154.54,155.04,153.15,154.54,7901348
2023-06-02,154.72,157.31,154.09,156.97,7659721
2023-06-05,156.75,158.64,156.75,158.32,6430453
2023-06-06,159.58,159.61,157.4,158.18,5073642
2023-06-07,158.1,158.8,157.44,158.52,6504285
2023-06-08,158.5,160.42,157.82,160.26,5818952
2023-06-09,160.42,160.725,159.465,160.01,6264779
2023-06-12,160,160.25,158.73,159.9,6511261
