date,open_price,high_price,low_price,close_price,volume,company_id
2023-03-01,23.1752,23.2387,22.4917,22.6814,460360225,3
2023-03-02,22.4717,23.3634,22.4158,23.2971,390358376,3
2023-03-03,23.3031,23.8826,23.1132,23.8726,412693259,3
2023-03-06,23.8736,24.2304,23.47,23.537,437747400,3
2023-03-07,23.587,24.1115,23.2281,23.2751,515441035,3
2023-03-08,23.474,24.1865,23.4105,24.1675,513859664,3
2023-03-09,24.1615,24.4405,23.3698,23.423,501536399,3
2023-03-10,23.396,23.614,22.7132,22.9521,475130348,3
2023-03-13,22.7392,23.2851,22.2847,22.9531,422125489,3
2023-03-14,23.483,24.2055,23.447,24.0495,475174853,3
2023-03-15,23.7477,24.2725,23.347,24.2145,524778097,3
2023-03-16,24.0135,25.5738,23.8807,25.5268,585272319,3
2023-03-17,25.9676,26.3843,25.6536,25.7106,849019554,3
2023-03-20,25.6006,26.0096,25.1158,25.8856,432988410,3
2023-03-21,26.1655,26.3773,25.3669,26.1844,547712894,3
2023-03-22,26.4103,27.5735,26.2224,26.4533,797739536,3
2023-03-23,27.1004,27.4836,26.6751,27.1759,565203638,3
2023-03-24,27.0159,27.1519,26.3403,26.764,455667925,3
2023-03-27,26.822,26.9849,26.3503,26.5163,361226982,3
2023-03-28,26.4323,26.4983,25.8356,26.3953,356302278,3
2023-03-29,26.81,27.0629,26.5822,26.9689,393913321,3
2023-03-30,27.2139,27.4836,27.0869,27.3678,364718927,3
2023-03-31,27.1249,27.8188,27.0899,27.7615,434174651,3
2023-04-03,27.4936,27.9844,27.3208,27.9494,398937851,3
2023-04-04,27.9504,27.9844,27.2919,27.4377,368796989,3
2023-04-05,26.814,26.9829,26.3803,26.8659,515301818,3
2023-04-06,26.5692,27.0649,26.4123,27.0219,397875999,3
2023-04-10,26.808,27.6055,26.6541,27.5635,395498885,3
2023-04-11,27.708,27.7745,27.1109,27.1539,314553409,3
2023-04-12,27.3548,27.4526,26.4328,26.4803,446507702,3
2023-04-13,26.7191,26.8718,26.3143,26.4483,353812391,3
2023-04-14,26.4893,26.8679,26.2054,26.743,395880677,3
2023-04-17,26.5508,26.9909,26.4184,26.9869,321650493,3
2023-04-18,27.5181,28.0944,27.3418,27.6515,605148672,3
2023-04-19,27.3458,27.9844,27.2169,27.9154,358860333,3
2023-04-20,27.6555,28.0144,26.9849,27.0889,427951674,3
