company_id,date,date,open_price,high_price,low_price,close_price,volume
12,2023-03-01,2023-03-01,100.337,101.843,100.337,100.992,6440826.9809521
12,2023-03-02,2023-03-02,100.967,101.673,100.469,101.332,5383413.9484046
12,2023-03-03,2023-03-03,101.678,101.693,100.497,101.209,6467527.8742049
12,2023-03-06,2023-03-06,101.947,105.338,101.748,105.205,18772770.336393
12,2023-03-07,2023-03-07,105.838,106.228,104.84,105.366,14578944.333541
12,2023-03-08,2023-03-08,105.044,105.375,101.88,102.534,8913845.6768789
12,2023-03-09,2023-03-09,103.501,104.068,101.426,101.889,6170248.6361793
12,2023-03-10,2023-03-10,101.738,104.845,101.645,101.975,10284241.24925
12,2023-03-13,2023-03-13,98.925,103.065,98.8609,100.12,11285998.907798
12,2023-03-14,2023-03-14,100.549,102.15,99.6622,101.998,10284982.934017
12,2023-03-15,2023-03-15,101.531,103.008,100.662,102.627,11476086.74702
12,2023-03-16,2023-03-16,101.55,102.699,99.3805,102.352,9902821.3218418
12,2023-03-17,2023-03-17,102.169,102.322,98.6746,99.2614,27689123.089099
12,2023-03-20,2023-03-20,99.9479,101.941,99.9479,100.928,13493048.014618
12,2023-03-21,2023-03-21,101.072,101.479,99.8904,100.633,12135862.397579
12,2023-03-22,2023-03-22,100.568,101.074,99.5382,99.5481,5983956.9112013
12,2023-03-23,2023-03-23,99.2614,99.7664,98.65,99.3854,7133235.6119496
12,2023-03-24,2023-03-24,99.2515,100.129,97.6779,99.9281,6986596.5439547
12,2023-03-27,2023-03-27,101.149,102.609,101.063,101.96,7931827.720431
12,2023-03-28,2023-03-28,101.654,102.055,100.534,100.624,7005286.2790536
12,2023-03-29,2023-03-29,100.712,100.948,99.6721,100.043,6617758.2242263
12,2023-03-30,2023-03-30,100.234,101.263,99.6821,100.998,5261971.6367941
12,2023-03-31,2023-03-31,101.292,101.577,100.615,101.444,7534474.9959214
12,2023-04-03,2023-04-03,101.026,104.39,100.662,103.81,7303634.0620592
12,2023-04-04,2023-04-04,103.648,104.257,103.128,103.771,6406041.2070651
12,2023-04-05,2023-04-05,104.801,107.118,104.487,106.707,8396327.5735777
12,2023-04-06,2023-04-06,107.748,108.858,106.451,107.108,7230544.7282107
12,2023-04-10,2023-04-10,107.705,107.835,106.005,107.376,6760719.3335773
12,2023-04-11,2023-04-11,107.481,108.042,107.101,107.26,5914812.9666936
12,2023-04-12,2023-04-12,107.032,108.996,106.674,108.464,6435900.1065657
12,2023-04-13,2023-04-13,109.626,110.437,108.368,110.208,7689717.991123
12,2023-04-14,2023-04-14,110.361,110.771,109.331,109.95,5249120.2808712
12,2023-04-17,2023-04-17,110.312,111.032,108.892,109.663,6896059.1924394
12,2023-04-18,2023-04-18,109.158,109.769,108.444,109.494,5720355.1925896
12,2023-04-19,2023-04-19,109.168,110.027,108.71,108.824,4911663.6424942
12,2023-04-20,2023-04-20,108.873,109.198,107.748,108.863,4884926.8652869
12,2023-04-21,2023-04-21,109.53,110.274,109.262,110.007,6874098.4128551
12,2023-04-24,2023-04-24,110.26,110.874,109.435,110.551,4508685.4346184
12,2023-04-25,2023-04-25,110.813,111.428,110.522,111.114,5938835.5845139
12,2023-04-26,2023-04-26,109.845,109.845,107.481,108.157,6929996.6722554
12,2023-04-27,2023-04-27,109.272,109.997,105.511,109.806,10461442.097843
12,2023-04-28,2023-04-28,109.045,110.16,108.185,110.103,8442854.2223589
12,2023-05-01,2023-05-01,110.417,111.18,109.912,110.933,5494283.9638634
12,2023-05-02,2023-05-02,111.247,112.887,110.427,112.411,8574166.8895493
12,2023-05-03,2023-05-03,112.85,114.088,112.449,112.725,7067102.6224651
12,2023-05-04,2023-05-04,112.514,112.514,111.076,111.915,6806559.052529
12,2023-05-05,2023-05-05,111.923,112.411,111.14,112.209,4755283.8046437
12,2023-05-08,2023-05-08,111.637,112.934,111.027,112.877,5408670.4834153
12,2023-05-09,2023-05-09,112.754,113.112,111.886,111.972,5173822.2840903
12,2023-05-10,2023-05-10,111.952,112.677,111.007,112.421,5878728.7000672
12,2023-05-11,2023-05-11,112.115,112.312,110.973,112.086,5869604.5939362
12,2023-05-12,2023-05-12,112.514,113.04,111.27,111.696,5488189.6902166
12,2023-05-15,2023-05-15,111.696,112.267,110.121,110.961,5974963.8985492
12,2023-05-16,2023-05-16,110.495,111.333,109.932,110.685,4486837.9197999
12,2023-05-17,2023-05-17,110.961,111.234,108.205,109.425,7561873.5330102
12,2023-05-18,2023-05-18,108.833,109.722,108.062,108.7,6750940.8087997
12,2023-05-19,2023-05-19,109.015,110.838,108.798,110.121,8019858.5646299
12,2023-05-22,2023-05-22,110.113,111.637,109.015,109.168,5880771.6608423
12,2023-05-23,2023-05-23,108.672,109.455,107.796,108.005,8109991.0994824
12,2023-05-24,2023-05-24,108.805,109.005,107.319,108.319,4729364.0019968
12,2023-05-25,2023-05-25,108.225,108.225,105.927,107.081,7380676.1264833
12,2023-05-26,2023-05-26,106.795,107.929,105.506,105.907,6689269.1925889
12,2023-05-30,2023-05-30,105.011,105.563,103.904,104.096,8146783.2708948
12,2023-05-31,2023-05-31,103.427,105.984,103.427,105.277,15273476.793874
12,2023-06-01,2023-06-01,105.516,106.402,104.773,105.774,7299350.9759167
12,2023-06-02,2023-06-02,105.947,107.49,105.573,107.289,6075178.0463026
12,2023-06-05,2023-06-05,107.748,109.158,107.662,107.853,5438244.1235059
12,2023-06-06,2023-06-06,108.272,108.434,104.2,104.897,7299512.4830827
12,2023-06-07,2023-06-07,104.533,104.576,101.902,103.561,13025923.145649
12,2023-06-08,2023-06-08,103.275,105.907,102.981,105.193,8761346.3537051
12,2023-06-09,2023-06-09,105.063,106.328,103.953,105.563,6839994.1821339
12,2023-06-12,2023-06-12,105.068,105.831,103.552,104.754,7832680.1492219
12,2023-06-13,2023-06-13,103.543,105.499,103.028,104.877,7660301.6632071
12,2023-06-14,2023-06-14,105.32,105.52,104.004,104.302,6393967.6324681
12,2023-06-15,2023-06-15,104.051,105.493,103.995,105.012,7610961.7096847
12,2023-06-16,2023-06-16,105.108,106.023,104.685,104.935,16506587.834162
12,2023-06-20,2023-06-20,104.704,106.412,104.652,105.809,8068156.3286181
12,2023-06-21,2023-06-21,105.693,107.047,105.126,106.7,7141208.344531
12,2023-06-22,2023-06-22,107.124,109.273,107.124,109.158,8214421.185676
12,2023-06-23,2023-06-23,109.581,110.301,108.487,110.003,17093504.769197
12,2023-06-26,2023-06-26,109.85,110.003,107.296,108.544,8006202.2781018
12,2023-06-27,2023-06-27,108.305,109.148,107.383,108.775,7390392.4133556
12,2023-06-28,2023-06-28,108.9,109.014,106.965,107.93,8515511.2662532
12,2023-06-29,2023-06-29,107.748,109.312,107.32,108.985,6544404.8477684
12,2023-06-30,2023-06-30,109.222,110.973,108.88,110.762,8428734.5491098
12,2023-07-03,2023-07-03,109.879,110.023,108.975,109.745,2953090.9852405
12,2023-07-05,2023-07-05,109.466,109.84,108.871,109.138,6106710.4040113
12,2023-07-06,2023-07-06,108.372,108.89,107.23,107.267,7561080.9324946
12,2023-07-07,2023-07-07,106.616,107.027,104.397,104.628,11789492.541997
12,2023-07-10,2023-07-10,104.762,106.164,104.724,105.549,6197779.2849397
12,2023-07-11,2023-07-11,105.089,105.607,103.907,104.34,6339214.4159522
12,2023-07-12,2023-07-12,104.022,104.676,102.885,103.159,8726754.482436
12,2023-07-13,2023-07-13,103.025,103.581,101.998,102.055,10172457.340363
12,2023-07-14,2023-07-14,101.998,103.362,101.998,103.035,7511223.0746257
12,2023-07-17,2023-07-17,102.747,103.13,101.066,101.336,7685135.9255401
12,2023-07-18,2023-07-18,101.633,102.732,101.12,101.7,7812471.5068765
12,2023-07-19,2023-07-19,101.896,103.073,101.662,101.7,6884752.6001679
12,2023-07-20,2023-07-20,102.276,104.58,101.806,104.111,8410393.8832278
12,2023-07-21,2023-07-21,104.369,106.177,104.031,105.963,8536370.9738906
