company_id,date,date,open_price,high_price,low_price,close_price,volume
10,2023-03-01,2023-03-01,153.01,153.24,151.91,152.57,6766972
10,2023-03-02,2023-03-02,151.75,152.76,151.231,152.45,8765070
10,2023-03-03,2023-03-03,153.37,154.12,152.84,154.02,5747158
10,2023-03-06,2023-03-06,154.66,155.73,154.565,155.56,8148207
10,2023-03-07,2023-03-07,156.09,156.25,153.35,154.09,7457731
10,2023-03-08,2023-03-08,153.98,154.1955,152.48,152.96,6230522
10,2023-03-09,2023-03-09,153.46,153.6,150.71,151.24,7439367
10,2023-03-10,2023-03-10,151.86,153.49,151.1,151.61,8504316
10,2023-03-13,2023-03-13,152.09,155.91,151.57,153.06,10799575
10,2023-03-14,2023-03-14,153.28,154.03,151.9,153.92,8421189
10,2023-03-15,2023-03-15,152.84,154.89,152.5259,154.35,7757686
10,2023-03-16,2023-03-16,153.45,154.365,152.605,154.03,7606079
10,2023-03-17,2023-03-17,154.48,154.9499,152.3,152.38,20540668
10,2023-03-20,2023-03-20,152.47,154.075,152.38,153.89,7128958
10,2023-03-21,2023-03-21,154.0,154.13,152.17,153.89,8376843
10,2023-03-22,2023-03-22,153.85,154.06,151.03,151.05,7943526
10,2023-03-23,2023-03-23,151.175,151.69,150.11,151.13,9051510
10,2023-03-24,2023-03-24,151.48,152.76,150.83,152.65,5696845
10,2023-03-27,2023-03-27,154.28,154.54,153.11,153.3,6772282
10,2023-03-28,2023-03-28,152.39,153.45,151.725,151.82,6115293
10,2023-03-29,2023-03-29,152.24,153.38,152.07,153.31,6012030
10,2023-03-30,2023-03-30,153.58,153.8,152.81,153.43,4555905
10,2023-03-31,2023-03-31,153.79,155.19,153.24,155.0,9890047
10,2023-04-03,2023-04-03,154.95,157.01,153.94,156.85,6841888
10,2023-04-04,2023-04-04,156.97,158.97,156.59,158.49,8314527
10,2023-04-05,2023-04-05,164.37,165.66,162.76,165.61,16704181
10,2023-04-06,2023-04-06,165.99,167.23,164.8,165.15,9615407
10,2023-04-10,2023-04-10,164.63,164.84,163.64,164.32,5353951
10,2023-04-11,2023-04-11,164.42,165.28,164.0401,164.27,5903824
10,2023-04-12,2023-04-12,163.94,164.84,163.1,163.92,5764240
10,2023-04-13,2023-04-13,164.18,166.33,163.805,166.11,5640617
10,2023-04-14,2023-04-14,165.97,166.115,164.06,165.84,7225127
10,2023-04-17,2023-04-17,165.735,166.24,164.94,165.67,8046428
10,2023-04-18,2023-04-18,164.25,164.69,159.65,161.01,14571485
10,2023-04-19,2023-04-19,161.99,162.68,161.17,162.53,6752006
10,2023-04-20,2023-04-20,162.43,163.82,160.96,163.58,9498768
10,2023-04-21,2023-04-21,164.44,164.97,161.97,162.69,7014214
10,2023-04-24,2023-04-24,162.69,163.805,161.87,163.68,5278892
10,2023-04-25,2023-04-25,164.31,165.35,164.155,165.18,6263103
10,2023-04-26,2023-04-26,164.09,164.39,162.24,162.62,5518174
10,2023-04-27,2023-04-27,162.9,163.4067,162.13,163.0,5739700
10,2023-04-28,2023-04-28,162.81,163.76,162.5566,163.7,6024864
10,2023-05-01,2023-05-01,163.6,164.298,162.24,163.6,4893426
10,2023-05-02,2023-05-02,164.34,165.48,163.555,165.03,7541724
10,2023-05-03,2023-05-03,165.55,166.18,162.51,162.87,5937170
10,2023-05-04,2023-05-04,162.68,162.9,161.25,162.13,5127992
10,2023-05-05,2023-05-05,162.84,163.13,161.69,162.68,5194461
10,2023-05-08,2023-05-08,161.99,162.57,161.34,162.31,4994929
10,2023-05-09,2023-05-09,161.75,162.13,160.79,161.05,5520642
10,2023-05-10,2023-05-10,161.2,161.97,160.06,161.65,6756629
10,2023-05-11,2023-05-11,161.83,162.19,159.3901,160.99,5867620
10,2023-05-12,2023-05-12,161.36,161.56,160.01,160.78,3904327
10,2023-05-15,2023-05-15,160.8,161.03,158.94,159.55,5104486
10,2023-05-16,2023-05-16,159.06,160.25,158.53,159.34,5599505
10,2023-05-17,2023-05-17,159.79,160.055,157.77,158.99,6840687
10,2023-05-18,2023-05-18,158.66,158.93,157.56,158.48,5172966
10,2023-05-19,2023-05-19,158.59,159.9344,158.14,158.91,6527141
10,2023-05-22,2023-05-22,158.0,159.14,156.78,156.87,5675927
10,2023-05-23,2023-05-23,157.1,158.27,156.37,156.81,5793009
10,2023-05-24,2023-05-24,157.08,157.14,155.92,156.66,5015148
10,2023-05-25,2023-05-25,156.05,156.29,153.72,154.41,6886056
10,2023-05-26,2023-05-26,154.69,155.275,154.2,154.35,6845396
10,2023-05-30,2023-05-30,153.97,155.38,153.32,154.37,5593080
10,2023-05-31,2023-05-31,154.695,155.69,153.85,155.06,11324588
10,2023-06-01,2023-06-01,154.54,155.04,153.15,154.54,7901348
10,2023-06-02,2023-06-02,154.72,157.31,154.09,156.97,7659721
10,2023-06-05,2023-06-05,156.75,158.64,156.75,158.32,6430453
10,2023-06-06,2023-06-06,159.58,159.61,157.4,158.18,5073642
10,2023-06-07,2023-06-07,158.1,158.8,157.44,158.52,6504285
10,2023-06-08,2023-06-08,158.5,160.42,157.82,160.26,5818952
10,2023-06-09,2023-06-09,160.42,160.725,159.465,160.01,6264779
10,2023-06-12,2023-06-12,160.0,160.25,158.73,159.9,6511261
10,2023-06-13,2023-06-13,159.73,160.84,159.15,160.74,6066788
10,2023-06-14,2023-06-14,161.6,162.08,160.98,161.56,6699139
10,2023-06-15,2023-06-15,162.05,163.91,161.43,163.73,7138314
10,2023-06-16,2023-06-16,164.48,164.99,163.87,164.23,13426606
10,2023-06-20,2023-06-20,164.26,165.31,163.81,164.13,7996117
10,2023-06-21,2023-06-21,163.58,164.92,162.69,163.88,7177549
10,2023-06-22,2023-06-22,163.9,165.72,163.79,165.62,5486186
10,2023-06-23,2023-06-23,166.11,166.27,165.03,165.48,9450724
10,2023-06-26,2023-06-26,164.98,164.98,161.33,163.63,6978804
10,2023-06-27,2023-06-27,163.68,163.88,162.44,163.29,4927711
10,2023-06-28,2023-06-28,163.2,163.2,161.91,162.96,6780435
10,2023-06-29,2023-06-29,162.64,164.32,162.23,164.1,4547514
10,2023-06-30,2023-06-30,164.86,165.94,164.35,165.52,7580141
10,2023-07-03,2023-07-03,164.34,164.39,162.96,163.35,4033713
10,2023-07-05,2023-07-05,162.99,163.92,162.73,162.81,7225523
10,2023-07-06,2023-07-06,162.25,162.37,161.0,161.6,6333687
10,2023-07-07,2023-07-07,160.47,161.04,159.2,159.25,7022226
10,2023-07-10,2023-07-10,159.43,160.3,159.0,159.51,5739364
