company_id,date,date,open_price,high_price,low_price,close_price,volume
7,2023-03-01,2023-03-01,109.31,111.86,109.24,110.89,13199955
7,2023-03-02,2023-03-02,110.615,111.695,110.17,111.4,10343084
7,2023-03-03,2023-03-03,110.05,113.37,109.95,112.81,13006713
7,2023-03-06,2023-03-06,111.99,113.84,111.87,113.81,14347410
7,2023-03-07,2023-03-07,112.81,113.17,111.17,111.61,11525289
7,2023-03-08,2023-03-08,111.23,112.42,109.065,109.98,13509818
7,2023-03-09,2023-03-09,110.87,112.23,109.03,109.13,12961244
7,2023-03-10,2023-03-10,109.56,111.035,107.15,107.78,15795666
7,2023-03-13,2023-03-13,105.34,107.86,103.72,106.54,20745625
7,2023-03-14,2023-03-14,106.35,109.01,104.96,106.94,18263512
7,2023-03-15,2023-03-15,102.82,104.2,100.2203,101.62,25733781
7,2023-03-16,2023-03-16,99.11,101.68,98.02,101.03,27476133
7,2023-03-17,2023-03-17,100.6,101.6149,99.14,99.84,43199470
7,2023-03-20,2023-03-20,99.63,102.48,99.5,102.45,32042106
7,2023-03-21,2023-03-21,104.17,107.28,104.13,107.04,31592310
7,2023-03-22,2023-03-22,106.8,107.175,104.56,104.59,14952666
7,2023-03-23,2023-03-23,105.36,106.34,102.44,103.41,14385865
7,2023-03-24,2023-03-24,101.47,103.85,100.9132,103.53,13405812
7,2023-03-27,2023-03-27,104.74,106.48,103.91,105.8,14805911
7,2023-03-28,2023-03-28,105.44,107.65,105.19,107.12,11047587
7,2023-03-29,2023-03-29,108.06,109.16,107.49,108.96,14219122
7,2023-03-30,2023-03-30,109.55,109.57,108.52,109.49,11578171
7,2023-03-31,2023-03-31,109.68,110.17,109.0499,109.66,14417961
7,2023-04-03,2023-04-03,113.39,116.85,113.12,116.13,28087681
7,2023-04-04,2023-04-04,116.26,116.7,114.17,115.02,16365489
7,2023-04-05,2023-04-05,115.35,117.0,114.31,116.99,16479469
7,2023-04-06,2023-04-06,116.86,117.18,114.77,115.05,15777957
7,2023-04-10,2023-04-10,114.78,116.18,114.17,114.54,13006552
7,2023-04-11,2023-04-11,114.96,116.1999,114.38,115.35,11758461
7,2023-04-12,2023-04-12,116.16,116.59,114.93,115.23,10919022
7,2023-04-13,2023-04-13,114.6,115.89,114.13,115.77,12399652
7,2023-04-14,2023-04-14,115.9,116.66,115.12,116.05,11530828
7,2023-04-17,2023-04-17,115.49,116.51,114.42,114.7,13260352
7,2023-04-18,2023-04-18,114.39,117.21,114.3,116.94,17436140
7,2023-04-19,2023-04-19,116.08,116.9,115.77,116.57,10682605
7,2023-04-20,2023-04-20,115.125,115.68,113.2298,115.64,17038747
7,2023-04-21,2023-04-21,116.49,116.88,115.26,116.01,14315329
7,2023-04-24,2023-04-24,115.92,118.885,115.88,118.2,15831314
7,2023-04-25,2023-04-25,117.55,117.74,115.63,116.52,12179825
7,2023-04-26,2023-04-26,116.03,117.09,114.68,115.45,15566086
7,2023-04-27,2023-04-27,115.62,117.01,114.8818,116.83,16279188
7,2023-04-28,2023-04-28,117.25,119.92,116.83,118.34,24381946
7,2023-05-01,2023-05-01,115.99,117.3,114.45,114.67,17354987
7,2023-05-02,2023-05-02,113.94,113.94,109.29,110.1,24324102
7,2023-05-03,2023-05-03,109.08,109.81,107.755,107.93,16212343
7,2023-05-04,2023-05-04,107.9,108.75,105.91,106.04,17177150
7,2023-05-05,2023-05-05,108.55,109.43,107.53,108.68,14968197
7,2023-05-08,2023-05-08,110.5,110.97,109.04,109.11,11187752
7,2023-05-09,2023-05-09,108.34,110.23,108.21,109.14,11370769
7,2023-05-10,2023-05-10,109.74,110.01,106.71,107.74,14884793
7,2023-05-11,2023-05-11,106.49,106.82,104.933,105.79,17165897
7,2023-05-12,2023-05-12,106.31,107.01,104.775,105.78,12613254
